fund_company,establish_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,award_count
瑞达基金管理有限公司,2020/3/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东海证券股份有限公司,1993/1/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
合煦智远基金管理有限公司,2017/8/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
申万宏源证券有限公司,2015/1/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东吴证券股份有限公司,1993/4/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
信达证券股份有限公司,2007/9/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东莞证券股份有限公司,1997/6/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尚正基金管理有限公司,2020/7/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第一创业证券股份有限公司,1998/1/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华鑫证券有限责任公司,2001/3/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国都证券股份有限公司,2001/12/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华宸未来基金管理有限公司,2012/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国开泰富基金管理有限责任公司,2013/7/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国融基金管理有限公司,2017/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天风证券股份有限公司,2000/3/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
明亚基金管理有限责任公司,2019/2/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国信证券股份有限公司,1994/6/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
易米基金管理有限公司,2017/5/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京高华证券有限责任公司,2004/10/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
银河金汇证券资产管理有限公司,2014/4/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
泰康基金管理有限公司,2021/10/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富达基金管理(中国)有限公司,2021/5/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
路博迈基金管理(中国)有限公司,2021/7/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国元证券股份有限公司,1997/6/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东证融汇证券资产管理有限公司,2015/12/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华西基金管理有限责任公司,2021/11/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
